model,component,epoch,start_epoch_time,end_epoch_time,train_loss,val_loss
20250703155650_t1_universal.pt,main,4,2025-07-03 15:56:52,2025-07-03 15:56:52,0.22536330744133323,0.19795970383577854
20250703155650_t1_universal.pt,main,5,2025-07-03 15:56:52,2025-07-03 15:56:53,0.225302788257913,0.1979873894648323
20250703155653_t1_universal.pt,main,1,2025-07-03 15:56:55,2025-07-03 15:56:55,0.28996565995715823,0.19375890179650657
20250703155653_t1_universal.pt,main,2,2025-07-03 15:56:55,2025-07-03 15:56:55,0.2592522278683302,0.19299952048763608
20250703155653_t1_universal.pt,main,3,2025-07-03 15:56:55,2025-07-03 15:56:55,0.23010602304822372,0.2036418706740973
20250703155653_t1_universal.pt,main,4,2025-07-03 15:56:55,2025-07-03 15:56:55,0.2021155946025421,0.22635307123382956
20250703155653_t1_universal.pt,main,5,2025-07-03 15:56:55,2025-07-03 15:56:55,0.18676680773692955,0.23202100572516537
20250703155656_t1_linear_regression.pt,main,1,2025-07-03 15:56:56,2025-07-03 15:56:56,0.7251696651046341,0.5949634909629822
20250703155656_t1_linear_regression.pt,main,2,2025-07-03 15:56:56,2025-07-03 15:56:56,0.7234404618675644,0.593610405921936
20250703155656_t1_linear_regression.pt,main,3,2025-07-03 15:56:56,2025-07-03 15:56:56,0.7217795800518345,0.5921498537063599
20250703155656_t1_linear_regression.pt,main,4,2025-07-03 15:56:56,2025-07-03 15:56:56,0.7199895446364944,0.5905959606170654
20250703155656_t1_linear_regression.pt,main,5,2025-07-03 15:56:56,2025-07-03 15:56:56,0.7180935837127067,0.5889724493026733
20250703155656_t1_lstm.pt,main,1,2025-07-03 15:56:56,2025-07-03 15:56:56,0.45152947306632996,0.3136427104473114
20250703155656_t1_lstm.pt,main,2,2025-07-03 15:56:56,2025-07-03 15:56:56,0.3675566613674164,0.23773236572742462
20250703155656_t1_lstm.pt,main,3,2025-07-03 15:56:56,2025-07-03 15:56:56,0.2836726903915405,0.17943236231803894
20250703155656_t1_lstm.pt,main,4,2025-07-03 15:56:56,2025-07-03 15:56:56,0.19997842609882355,0.18592196702957153
20250703155656_t1_lstm.pt,main,5,2025-07-03 15:56:56,2025-07-03 15:56:56,0.16431042551994324,0.25556910037994385
20250703155656_t1_linear_regression.pt,main,1,2025-07-03 15:56:56,2025-07-03 15:56:56,0.1918876936723446,0.41347095370292664
20250703155656_t1_linear_regression.pt,main,2,2025-07-03 15:56:56,2025-07-03 15:56:56,0.18851794713530048,0.4057651162147522
20250703155656_t1_linear_regression.pt,main,3,2025-07-03 15:56:56,2025-07-03 15:56:56,0.18560958525230145,0.39817580580711365
20250703155656_t1_linear_regression.pt,main,4,2025-07-03 15:56:56,2025-07-03 15:56:56,0.1826681474159504,0.39028510451316833
20250703155656_t1_linear_regression.pt,main,5,2025-07-03 15:56:56,2025-07-03 15:56:56,0.17967752187416472,0.38222959637641907
20250703155656_t1_lstm.pt,main,1,2025-07-03 15:56:56,2025-07-03 15:56:56,0.17488357424736023,0.36566558480262756
20250703155656_t1_lstm.pt,main,2,2025-07-03 15:56:56,2025-07-03 15:56:56,0.1474665403366089,0.3127032220363617
20250703155656_t1_lstm.pt,main,3,2025-07-03 15:56:56,2025-07-03 15:56:56,0.14353294670581818,0.29057222604751587
20250703155656_t1_lstm.pt,main,4,2025-07-03 15:56:56,2025-07-03 15:56:56,0.14230680465698242,0.29444968700408936
20250703155656_t1_lstm.pt,main,5,2025-07-03 15:56:56,2025-07-03 15:56:56,0.14367005228996277,0.309225857257843
20250703155656_t1_linear_regression.pt,main,1,2025-07-03 15:56:57,2025-07-03 15:56:57,0.3824969530105591,0.3826478123664856
20250703155656_t1_linear_regression.pt,main,2,2025-07-03 15:56:57,2025-07-03 15:56:57,0.3716686793736049,0.3760196566581726
20250703155656_t1_linear_regression.pt,main,3,2025-07-03 15:56:57,2025-07-03 15:56:57,0.3610958584717342,0.36984074115753174
20250703155656_t1_linear_regression.pt,main,4,2025-07-03 15:56:57,2025-07-03 15:56:57,0.35078030824661255,0.36390525102615356
20250703155656_t1_linear_regression.pt,main,5,2025-07-03 15:56:57,2025-07-03 15:56:57,0.34072365505354746,0.3582652807235718
20250703155657_t1_lstm.pt,main,1,2025-07-03 15:56:57,2025-07-03 15:56:57,0.41255295276641846,0.47486412525177
20250703155657_t1_lstm.pt,main,2,2025-07-03 15:56:57,2025-07-03 15:56:57,0.412290096282959,0.47479307651519775
20250703155657_t1_lstm.pt,main,3,2025-07-03 15:56:57,2025-07-03 15:56:57,0.41187784075737,0.4747259318828583
20250703155657_t1_lstm.pt,main,4,2025-07-03 15:56:57,2025-07-03 15:56:57,0.412463903427124,0.4746585190296173
20250703155657_t1_lstm.pt,main,5,2025-07-03 15:56:57,2025-07-03 15:56:57,0.4124087691307068,0.474590539932251
20250703155657_t1_linear_regression.pt,main,1,2025-07-03 15:56:57,2025-07-03 15:56:57,0.36291250586509705,0.5372572541236877
