model,model_component,epoch,type,inference,MAE,MSE,RMSE,MAPE,R2,MDA,Spearman
20250703155623_t1_linear_regression.pt,main,3,val,0.0010004043579101562,0.5409551858901978,0.30700376629829407,0.5540792057984978,1.0026074647903442,-18.790103912353516,0.5245901639344263,0.196789660877514
20250703155623_t1_linear_regression.pt,main,4,train,0.009158849716186523,0.22992286086082458,0.0942234918475151,0.3069584529663829,1.9158728122711182,-0.7838153839111328,0.4796547472256473,-0.5578347968995353
20250703155623_t1_linear_regression.pt,main,4,val,0.0010006427764892578,0.5076422691345215,0.27134206891059875,0.5209050478835838,0.9382661581039429,-16.49127769470215,0.5245901639344263,0.27254347468726736
20250703155623_t1_linear_regression.pt,main,5,train,0.008417606353759766,0.21962395310401917,0.08436433970928192,0.290455400551069,1.8968191146850586,-0.597164511680603,0.4808877928483354,-0.5110477518280231
20250703155623_t1_linear_regression.pt,main,5,val,0.0,0.4746648669242859,0.2382768988609314,0.4881361478736556,0.8745771050453186,-14.359827041625977,0.5245901639344263,0.34865843552578213
20250703155623_t1_linear_regression.pt,main,5,test,0.002009153366088867,0.2966037392616272,0.16900327801704407,0.41110008272565945,1.5010919570922852,-0.857580304145813,0.4675,-0.672658288037496
20250703155623_t1_lstm.pt,main,1,train,0.02199697494506836,0.24343417584896088,0.08867579698562622,0.2977848165800705,3.241896390914917,-0.6787878274917603,0.5092478421701603,-0.09686599606819093
20250703155623_t1_lstm.pt,main,1,val,0.0010025501251220703,0.47117263078689575,0.23673643171787262,0.4865556820322548,0.8562926054000854,-14.260525703430176,0.48360655737704916,0.5858610938271093
20250703155623_t1_lstm.pt,main,2,train,0.018769025802612305,0.18218988180160522,0.06118250638246536,0.24735097813120804,1.4254355430603027,-0.15829181671142578,0.46979038224414305,0.06625874594627462
20250703155623_t1_lstm.pt,main,2,val,0.0009996891021728516,0.42044517397880554,0.19121262431144714,0.4372786575073693,0.7578787803649902,-11.325965881347656,0.47540983606557374,0.5749492943152458
20250703155623_t1_lstm.pt,main,3,train,0.021009445190429688,0.1649579554796219,0.05548867583274841,0.235560344355217,1.1117069721221924,-0.05049765110015869,0.48212083847102344,0.36956230981791754
20250703155623_t1_lstm.pt,main,3,val,0.0010020732879638672,0.6320297122001648,0.417009562253952,0.6457627755251553,1.301546335220337,-25.88130760192871,0.45081967213114754,0.12330268957864718
20250703155623_t1_lstm.pt,main,4,train,0.019722461700439453,0.18329331278800964,0.08203524351119995,0.2864179524946018,0.8936094641685486,-0.5530705451965332,0.5178791615289766,0.47541667492037903
20250703155623_t1_lstm.pt,main,4,val,0.002001523971557617,0.37884199619293213,0.15742792189121246,0.396771876386435,0.6779273152351379,-9.14813232421875,0.45081967213114754,0.5452352776184902
20250703155623_t1_lstm.pt,main,5,train,0.028705358505249023,0.16137132048606873,0.04983162507414818,0.22322998247132525,1.1706998348236084,0.056600213050842285,0.49445129469790383,0.5071193657829536
20250703155623_t1_lstm.pt,main,5,val,0.0020024776458740234,0.16075220704078674,0.03363797441124916,0.18340658224624645,0.28013959527015686,-1.1683740615844727,0.4918032786885246,0.4064290620194415
20250703155623_t1_lstm.pt,main,5,test,0.005010843276977539,0.11432904750108719,0.027395447716116905,0.16551570232493623,0.5780901908874512,0.6988860368728638,0.45,0.8899168346556622
